total_iter=0, loss_cls=4.979348659515381, loss_fd=0.011054769158363342, loss_total=25.57967185974121
total_iter=1, loss_cls=4.741598606109619, loss_fd=0.010807647369801998, loss_total=25.414356231689453
total_iter=2, loss_cls=4.1565704345703125, loss_fd=0.010733947157859802, loss_total=23.240354537963867
total_iter=3, loss_cls=4.310260772705078, loss_fd=0.010745652951300144, loss_total=23.337818145751953
total_iter=4, loss_cls=3.7464423179626465, loss_fd=0.010691607370972633, loss_total=21.706634521484375
total_iter=5, loss_cls=3.4976158142089844, loss_fd=0.010687805712223053, loss_total=20.988359451293945
total_iter=6, loss_cls=3.587696075439453, loss_fd=0.010765539482235909, loss_total=21.488006591796875
total_iter=7, loss_cls=3.643643856048584, loss_fd=0.010741527192294598, loss_total=21.315128326416016
total_iter=8, loss_cls=3.3384194374084473, loss_fd=0.010663099586963654, loss_total=20.053260803222656
total_iter=9, loss_cls=3.4235053062438965, loss_fd=0.010870376601815224, loss_total=21.1838436126709
total_iter=10, loss_cls=3.217628240585327, loss_fd=0.010609110817313194, loss_total=19.753135681152344
total_iter=11, loss_cls=3.2959823608398438, loss_fd=0.010499096475541592, loss_total=19.84423828125
total_iter=12, loss_cls=3.517590045928955, loss_fd=0.010743141174316406, loss_total=19.824344635009766
total_iter=13, loss_cls=3.185903549194336, loss_fd=0.010333215817809105, loss_total=18.46318244934082
total_iter=14, loss_cls=3.0775198936462402, loss_fd=0.010433598421514034, loss_total=19.89206886291504
total_iter=15, loss_cls=3.2315688133239746, loss_fd=0.01020926795899868, loss_total=18.715763092041016
total_iter=16, loss_cls=2.9501023292541504, loss_fd=0.010503208264708519, loss_total=18.238872528076172
total_iter=17, loss_cls=3.230525016784668, loss_fd=0.010487336665391922, loss_total=19.354022979736328
total_iter=18, loss_cls=2.865288496017456, loss_fd=0.010368572548031807, loss_total=18.945831298828125
total_iter=19, loss_cls=3.0539538860321045, loss_fd=0.01022697426378727, loss_total=19.265766143798828
total_iter=20, loss_cls=2.97823166847229, loss_fd=0.01017702929675579, loss_total=18.27007484436035
total_iter=21, loss_cls=3.0111083984375, loss_fd=0.010082772001624107, loss_total=17.49761199951172
total_iter=22, loss_cls=3.0032594203948975, loss_fd=0.009790142998099327, loss_total=18.223146438598633
total_iter=23, loss_cls=3.057659387588501, loss_fd=0.010140005499124527, loss_total=18.75526237487793
total_iter=24, loss_cls=3.033602714538574, loss_fd=0.010083131492137909, loss_total=18.10698699951172
total_iter=25, loss_cls=2.781979560852051, loss_fd=0.009851150214672089, loss_total=17.625524520874023
total_iter=26, loss_cls=2.889683961868286, loss_fd=0.009687121026217937, loss_total=17.90521812438965
total_iter=27, loss_cls=2.994621515274048, loss_fd=0.009749331511557102, loss_total=17.681427001953125
total_iter=28, loss_cls=2.7699263095855713, loss_fd=0.010114998556673527, loss_total=17.488298416137695
total_iter=29, loss_cls=2.8408637046813965, loss_fd=0.009710453450679779, loss_total=16.762250900268555
total_iter=30, loss_cls=2.845625877380371, loss_fd=0.009442239999771118, loss_total=17.893299102783203
total_iter=31, loss_cls=2.992809534072876, loss_fd=0.009648791514337063, loss_total=18.539199829101562
total_iter=32, loss_cls=2.7941431999206543, loss_fd=0.009408172219991684, loss_total=17.560564041137695
total_iter=33, loss_cls=2.529717206954956, loss_fd=0.009383168071508408, loss_total=16.008859634399414
total_iter=34, loss_cls=2.6437535285949707, loss_fd=0.009153598919510841, loss_total=16.42279052734375
total_iter=35, loss_cls=2.765333890914917, loss_fd=0.009124401025474072, loss_total=16.9770565032959
total_iter=36, loss_cls=2.438873529434204, loss_fd=0.009399830363690853, loss_total=16.444347381591797
total_iter=37, loss_cls=2.7773306369781494, loss_fd=0.009256623685359955, loss_total=17.097463607788086
total_iter=38, loss_cls=2.5527870655059814, loss_fd=0.009189613163471222, loss_total=16.507291793823242
total_iter=39, loss_cls=2.6626551151275635, loss_fd=0.009085387922823429, loss_total=16.109756469726562
total_iter=40, loss_cls=2.8766894340515137, loss_fd=0.00895348284393549, loss_total=16.55771255493164
total_iter=41, loss_cls=2.6180765628814697, loss_fd=0.009113173931837082, loss_total=16.5504207611084
total_iter=42, loss_cls=2.4933717250823975, loss_fd=0.009137032553553581, loss_total=15.681171417236328
total_iter=43, loss_cls=2.5476081371307373, loss_fd=0.009051649831235409, loss_total=16.392122268676758
total_iter=44, loss_cls=2.815924644470215, loss_fd=0.008891154080629349, loss_total=17.129199981689453
total_iter=45, loss_cls=2.9725453853607178, loss_fd=0.008985240012407303, loss_total=17.09794044494629
total_iter=46, loss_cls=2.6365997791290283, loss_fd=0.009183863177895546, loss_total=17.457290649414062
total_iter=47, loss_cls=2.5461087226867676, loss_fd=0.008916511200368404, loss_total=16.184457778930664
total_iter=48, loss_cls=2.5604629516601562, loss_fd=0.008912538178265095, loss_total=16.374887466430664
total_iter=49, loss_cls=2.288158416748047, loss_fd=0.009059255942702293, loss_total=15.603531837463379
total_iter=50, loss_cls=2.5464141368865967, loss_fd=0.009090986102819443, loss_total=16.023962020874023
total_iter=51, loss_cls=2.0978446006774902, loss_fd=0.008987358771264553, loss_total=15.134756088256836
total_iter=52, loss_cls=2.1522088050842285, loss_fd=0.008731799200177193, loss_total=14.634312629699707
total_iter=53, loss_cls=2.5306715965270996, loss_fd=0.008742867037653923, loss_total=16.586502075195312
total_iter=54, loss_cls=2.6025216579437256, loss_fd=0.008913496509194374, loss_total=15.95201301574707
total_iter=55, loss_cls=2.290309429168701, loss_fd=0.0087692029774189, loss_total=15.337702751159668
total_iter=56, loss_cls=2.3172621726989746, loss_fd=0.00869167223572731, loss_total=15.453751564025879
total_iter=57, loss_cls=2.1575534343719482, loss_fd=0.008654983714222908, loss_total=14.3169527053833
total_iter=58, loss_cls=2.12213397026062, loss_fd=0.00868498720228672, loss_total=14.661507606506348
total_iter=59, loss_cls=2.0460903644561768, loss_fd=0.008779113180935383, loss_total=14.732495307922363
total_iter=60, loss_cls=1.9649348258972168, loss_fd=0.008487317711114883, loss_total=13.673225402832031
total_iter=61, loss_cls=2.2125723361968994, loss_fd=0.008578997105360031, loss_total=14.491546630859375
total_iter=62, loss_cls=2.5104482173919678, loss_fd=0.008475242182612419, loss_total=15.399195671081543
total_iter=63, loss_cls=2.1523287296295166, loss_fd=0.008529535494744778, loss_total=14.99941635131836
total_iter=64, loss_cls=2.8101539611816406, loss_fd=0.00866345502436161, loss_total=17.235877990722656
total_iter=65, loss_cls=2.3315303325653076, loss_fd=0.008539782837033272, loss_total=14.877007484436035
total_iter=66, loss_cls=2.382829189300537, loss_fd=0.008512473665177822, loss_total=14.982765197753906
total_iter=67, loss_cls=1.9894511699676514, loss_fd=0.008614040911197662, loss_total=13.807122230529785
total_iter=68, loss_cls=2.341046094894409, loss_fd=0.008590180426836014, loss_total=14.778961181640625
total_iter=69, loss_cls=2.2798335552215576, loss_fd=0.008342684246599674, loss_total=14.673712730407715
total_iter=70, loss_cls=2.335883855819702, loss_fd=0.008597376756370068, loss_total=15.372969627380371
total_iter=71, loss_cls=2.0979254245758057, loss_fd=0.008658789098262787, loss_total=14.777668952941895
total_iter=72, loss_cls=2.044314384460449, loss_fd=0.008366495370864868, loss_total=13.713715553283691
total_iter=73, loss_cls=1.9911199808120728, loss_fd=0.008464518934488297, loss_total=13.679027557373047
total_iter=74, loss_cls=2.1410343647003174, loss_fd=0.008329536765813828, loss_total=14.09033203125
total_iter=75, loss_cls=2.0245585441589355, loss_fd=0.008328787982463837, loss_total=13.719414710998535
total_iter=76, loss_cls=2.1415655612945557, loss_fd=0.00851468089967966, loss_total=14.544593811035156
total_iter=77, loss_cls=1.6448723077774048, loss_fd=0.00831849966198206, loss_total=12.368284225463867
total_iter=78, loss_cls=2.1995601654052734, loss_fd=0.008492892608046532, loss_total=14.300623893737793
total_iter=79, loss_cls=2.2326552867889404, loss_fd=0.008394226431846619, loss_total=14.595512390136719
total_iter=80, loss_cls=2.2065534591674805, loss_fd=0.008576102554798126, loss_total=14.825839042663574
total_iter=81, loss_cls=1.7780042886734009, loss_fd=0.008174823597073555, loss_total=12.658060073852539
total_iter=82, loss_cls=2.289771318435669, loss_fd=0.00844484567642212, loss_total=14.115363121032715
total_iter=83, loss_cls=2.2063581943511963, loss_fd=0.008575396612286568, loss_total=13.857739448547363
total_iter=84, loss_cls=2.187623977661133, loss_fd=0.00852208398282528, loss_total=13.937588691711426
total_iter=85, loss_cls=2.2728171348571777, loss_fd=0.008306238800287247, loss_total=14.014689445495605
total_iter=86, loss_cls=2.3354201316833496, loss_fd=0.008366797119379044, loss_total=14.155599594116211
total_iter=87, loss_cls=2.06264066696167, loss_fd=0.008472765795886517, loss_total=13.122179985046387
total_iter=88, loss_cls=1.6281818151474, loss_fd=0.008639413863420486, loss_total=12.58243179321289
total_iter=89, loss_cls=1.8954463005065918, loss_fd=0.008466584607958794, loss_total=12.891998291015625
total_iter=90, loss_cls=2.1123123168945312, loss_fd=0.008568806573748589, loss_total=13.977116584777832
total_iter=91, loss_cls=1.925463318824768, loss_fd=0.008553588762879372, loss_total=12.92806625366211
total_iter=92, loss_cls=2.0405373573303223, loss_fd=0.008569732308387756, loss_total=13.69038200378418
total_iter=93, loss_cls=2.3701648712158203, loss_fd=0.008430203422904015, loss_total=14.57063102722168
total_iter=94, loss_cls=1.8838856220245361, loss_fd=0.0085534006357193, loss_total=12.899704933166504
total_iter=95, loss_cls=1.8373961448669434, loss_fd=0.008406851440668106, loss_total=12.482197761535645
total_iter=96, loss_cls=1.8324230909347534, loss_fd=0.008473211899399757, loss_total=13.3230562210083
total_iter=97, loss_cls=1.7943551540374756, loss_fd=0.00838086660951376, loss_total=13.017255783081055
total_iter=98, loss_cls=2.2067480087280273, loss_fd=0.00853214506059885, loss_total=13.633990287780762
total_iter=99, loss_cls=1.9511224031448364, loss_fd=0.008504314348101616, loss_total=13.313786506652832
total_iter=100, loss_cls=2.173159122467041, loss_fd=0.008563932962715626, loss_total=13.554718017578125
total_iter=101, loss_cls=2.0599429607391357, loss_fd=0.008503129705786705, loss_total=13.79852294921875
total_iter=102, loss_cls=2.159139394760132, loss_fd=0.008529040962457657, loss_total=13.20815372467041
total_iter=103, loss_cls=2.0912270545959473, loss_fd=0.008693531155586243, loss_total=13.185213088989258
total_iter=104, loss_cls=1.9222551584243774, loss_fd=0.00879303365945816, loss_total=13.453353881835938
total_iter=105, loss_cls=2.0873875617980957, loss_fd=0.008561091497540474, loss_total=13.418885231018066
total_iter=106, loss_cls=1.8216367959976196, loss_fd=0.008417299017310143, loss_total=12.84670639038086
total_iter=107, loss_cls=1.8898534774780273, loss_fd=0.008419591002166271, loss_total=12.579656600952148
total_iter=108, loss_cls=1.995583176612854, loss_fd=0.008703048340976238, loss_total=12.968932151794434
total_iter=109, loss_cls=2.11704158782959, loss_fd=0.008373022079467773, loss_total=13.19740104675293
total_iter=110, loss_cls=2.3042094707489014, loss_fd=0.008341353386640549, loss_total=13.555570602416992
total_iter=111, loss_cls=2.0489501953125, loss_fd=0.008482592180371284, loss_total=12.78266429901123
total_iter=112, loss_cls=1.955451250076294, loss_fd=0.008274583145976067, loss_total=12.528304100036621
total_iter=113, loss_cls=2.30784273147583, loss_fd=0.008475937880575657, loss_total=14.19743537902832
total_iter=114, loss_cls=2.239563226699829, loss_fd=0.008560942485928535, loss_total=13.310417175292969
total_iter=115, loss_cls=1.905734896659851, loss_fd=0.008461760357022285, loss_total=12.499865531921387
total_iter=116, loss_cls=2.0036427974700928, loss_fd=0.008426237851381302, loss_total=12.918597221374512
total_iter=117, loss_cls=2.040318489074707, loss_fd=0.008650517091155052, loss_total=13.262775421142578
total_iter=118, loss_cls=1.6696984767913818, loss_fd=0.008476987481117249, loss_total=11.647148132324219
total_iter=119, loss_cls=2.115532398223877, loss_fd=0.008639798499643803, loss_total=12.975518226623535
total_iter=120, loss_cls=1.7925750017166138, loss_fd=0.008624347858130932, loss_total=13.11211109161377
total_iter=121, loss_cls=1.8345997333526611, loss_fd=0.0087728938087821, loss_total=12.005037307739258
total_iter=122, loss_cls=1.9419364929199219, loss_fd=0.008743075653910637, loss_total=12.995043754577637
total_iter=123, loss_cls=1.8584482669830322, loss_fd=0.008573697879910469, loss_total=12.644403457641602
total_iter=124, loss_cls=1.7305456399917603, loss_fd=0.008619352243840694, loss_total=11.459220886230469
total_iter=125, loss_cls=1.8310267925262451, loss_fd=0.008561446331441402, loss_total=12.097023963928223
total_iter=126, loss_cls=1.794941782951355, loss_fd=0.0084456168115139, loss_total=12.145692825317383
total_iter=127, loss_cls=1.8011860847473145, loss_fd=0.008639100939035416, loss_total=11.646517753601074
total_iter=128, loss_cls=1.8391127586364746, loss_fd=0.008518285118043423, loss_total=12.821746826171875
total_iter=129, loss_cls=1.747506022453308, loss_fd=0.008447196334600449, loss_total=12.134122848510742
total_iter=130, loss_cls=1.9156497716903687, loss_fd=0.008561361581087112, loss_total=12.131634712219238
